aX,aY,aZ,gX,gY,gZ
0.354,0.941,0.365,-49.988,169.067,118.774
0.424,1.335,0.487,-25.574,154.602,109.985
0.449,1.419,0.525,0.427,139.587,85.388
0.464,1.368,0.504,-0.488,127.991,72.815
0.485,1.339,0.513,1.404,84.351,54.199
0.478,1.379,0.586,12.512,57.739,48.584
0.466,1.421,0.686,33.630,18.677,31.433
0.516,1.446,0.829,30.273,5.188,12.207
0.589,1.381,0.819,5.737,-17.029,-30.579
0.790,1.097,0.722,0.793,-24.170,-40.222
0.865,0.974,0.708,17.334,-29.663,-23.987
0.885,0.844,0.755,29.236,-29.480,-7.874
0.851,0.797,0.785,38.818,-28.992,17.944
0.721,0.704,0.802,33.020,-30.090,26.672
0.647,0.685,0.776,21.667,-31.738,32.654
0.544,0.691,0.653,-6.531,-30.945,32.593
0.530,0.689,0.580,-16.602,-24.597,27.954
0.535,0.678,0.518,-21.057,2.380,17.395
0.563,0.640,0.447,-11.475,31.860,8.850
0.607,0.605,0.442,-6.958,40.039,4.700
0.632,0.584,0.449,-5.432,41.687,0.610
0.682,0.558,0.459,-9.521,24.963,-4.822
0.703,0.552,0.461,-12.451,11.353,-5.920
0.727,0.541,0.463,-13.550,-4.578,-5.676
0.760,0.517,0.484,-10.132,-3.479,-4.272
0.770,0.501,0.504,0.793,6.775,-2.380
0.776,0.476,0.545,4.333,9.705,-2.075
0.770,0.469,0.559,4.211,7.874,-0.732
0.747,0.464,0.569,2.075,4.456,1.099
0.728,0.475,0.562,-2.808,-0.061,2.808
0.706,0.489,0.532,-3.845,-0.244,1.526
0.710,0.488,0.525,-0.916,-1.892,-3.418
0.712,0.482,0.534,0.488,-4.700,-5.615
0.718,0.470,0.544,-0.366,-10.864,-6.836
0.730,0.467,0.554,-2.197,-12.329,-5.493
0.720,0.482,0.548,-4.333,-12.024,-3.601
0.710,0.501,0.526,-5.188,-6.104,-3.113
0.716,0.501,0.518,-3.418,-2.319,-4.028
0.710,0.505,0.511,-0.671,2.136,-4.517
0.691,0.507,0.504,-0.427,2.319,-5.310
0.705,0.493,0.507,-1.160,-1.892,-6.775
0.726,0.478,0.513,-2.380,-4.578,-5.005
0.720,0.485,0.511,-3.113,-5.798,-1.770
0.714,0.496,0.510,-1.831,-3.967,-2.686
0.719,0.492,0.513,0.610,1.282,-5.005
0.736,0.479,0.517,0.916,3.174,-4.944
0.747,0.476,0.521,-0.854,3.784,-3.540
0.753,0.484,0.515,-2.625,3.235,-2.441
0.749,0.489,0.507,-4.578,1.892,-1.892
0.748,0.490,0.498,-4.089,1.221,-2.136
0.750,0.488,0.498,-1.404,-0.427,-1.587
0.746,0.489,0.509,0.183,-1.038,-1.038
0.741,0.489,0.522,1.465,-1.648,-0.854
0.739,0.487,0.534,1.221,-3.540,-1.404
0.737,0.485,0.534,0.549,-4.517,-1.770
0.730,0.483,0.538,0.122,-4.883,-1.282
0.725,0.483,0.539,-0.366,-4.028,-0.549
0.727,0.481,0.537,-1.160,-2.869,0.000
0.729,0.476,0.538,-1.282,-3.479,-0.305
0.724,0.477,0.540,-2.136,-4.456,-0.244
0.716,0.482,0.531,-3.113,-3.906,-0.366
0.713,0.481,0.525,-3.967,-2.136,-1.099
0.708,0.479,0.518,-3.540,-1.343,-1.282
0.704,0.478,0.515,-3.418,0.732,-0.549
0.706,0.485,0.509,-3.662,0.916,0.061
