aX,aY,aZ,gX,gY,gZ
0.086,-0.211,0.958,-5.371,-3.113,0.427
0.081,-0.212,0.954,-3.967,-3.296,0.488
0.084,-0.211,0.962,0.183,-3.601,-0.549
0.095,-0.234,0.988,0.977,-4.089,-1.160
0.110,-0.242,1.006,0.244,-2.258,-0.122
0.116,-0.245,1.003,-2.380,3.235,2.686
0.118,-0.248,0.981,-3.174,4.883,3.540
0.118,-0.243,0.972,-3.418,3.784,2.625
0.124,-0.231,0.960,-3.418,2.441,1.709
0.129,-0.225,0.957,-3.113,0.916,1.160
0.129,-0.215,0.959,-2.930,0.732,1.770
0.125,-0.219,0.962,-2.625,-0.488,3.052
0.120,-0.227,0.974,-2.563,-2.258,2.930
0.115,-0.228,0.979,-1.953,-4.456,2.625
0.107,-0.222,0.984,-0.916,-3.479,2.502
0.103,-0.220,0.984,0.854,-1.282,2.441
0.096,-0.224,0.982,0.427,-2.930,0.977
0.091,-0.233,0.994,-0.122,-3.540,-0.061
0.097,-0.236,0.996,-1.587,-0.122,-0.488
0.112,-0.232,0.990,-2.563,2.625,0.793
0.111,-0.223,0.979,-3.845,5.066,3.784
0.099,-0.204,0.960,-3.601,4.517,4.150
0.094,-0.201,0.956,-2.136,1.709,2.136
0.089,-0.208,0.961,-1.160,0.488,0.671
0.092,-0.215,0.965,0.488,0.427,-1.343
0.106,-0.221,0.974,0.427,0.244,-1.831
0.110,-0.222,0.979,-1.038,-1.099,-1.587
0.114,-0.224,0.981,-1.465,-0.977,-1.221
0.116,-0.221,0.985,-1.587,0.854,-0.305
0.116,-0.218,0.983,-1.709,1.953,0.854
0.113,-0.212,0.978,-1.221,1.343,0.732
0.123,-0.215,0.976,-0.305,-1.404,-1.221
0.124,-0.218,0.978,0.916,-2.869,-1.160
0.113,-0.220,0.992,1.587,-1.526,-0.427
0.110,-0.223,0.999,0.549,1.038,0.427
0.115,-0.229,0.999,-1.160,0.305,0.122
0.118,-0.231,0.991,-3.601,-2.808,-0.366
0.117,-0.231,0.984,-3.113,-2.747,0.122
