aX,aY,aZ,gX,gY,gZ
-0.078,-0.267,1.235,-133.911,-47.913,-13.184
-0.068,-0.254,1.231,-107.971,-18.677,-16.357
-0.048,-0.227,1.215,-98.450,-9.399,-15.869
-0.031,-0.224,1.224,-90.759,-1.526,-10.437
-0.023,-0.221,1.263,-88.867,-3.357,-7.263
-0.030,-0.220,1.277,-80.017,-6.714,-4.028
-0.035,-0.222,1.271,-74.646,-4.272,-4.211
-0.024,-0.232,1.249,-59.937,1.831,-4.578
-0.015,-0.286,1.162,-53.040,0.977,-3.296
-0.003,-0.308,1.112,-47.363,-0.366,-0.488
0.045,-0.256,1.090,-49.622,-1.343,-1.038
0.057,-0.229,1.108,-50.232,-3.235,-3.845
0.053,-0.215,1.154,-47.791,-1.953,-5.676
0.043,-0.219,1.152,-36.926,2.991,-8.606
0.031,-0.239,1.086,-30.212,6.775,-9.277
0.027,-0.257,1.033,-24.963,11.841,-9.766
0.034,-0.267,0.980,-21.606,22.339,-10.986
0.077,-0.246,0.906,-22.705,21.973,-11.719
0.086,-0.232,0.891,-28.503,6.042,-12.451
0.054,-0.214,0.901,-33.447,-3.296,-12.756
0.038,-0.208,0.915,-47.485,-10.132,-16.724
0.017,-0.173,0.964,-54.138,-9.460,-19.104
-0.002,-0.146,1.004,-61.096,-6.165,-20.813
-0.006,-0.098,1.102,-60.425,-2.319,-20.142
0.020,-0.078,1.141,-48.096,2.319,-15.930
0.035,-0.070,1.152,-38.147,0.000,-13.367
0.028,-0.079,1.130,-20.874,-2.808,-8.484
0.035,-0.093,1.092,-15.686,-1.038,-6.592
0.034,-0.106,1.078,-13.184,2.991,-3.540
0.032,-0.122,1.060,-12.512,7.874,-3.601
0.038,-0.122,1.037,-5.371,27.100,-9.705
0.054,-0.092,1.022,-2.075,32.776,-13.611
0.050,-0.094,1.019,1.648,33.691,-15.076
0.060,-0.117,1.000,7.690,23.132,-6.348
0.072,-0.130,0.990,6.897,14.038,-1.221
0.079,-0.129,0.993,-1.404,-2.563,2.930
0.071,-0.118,0.992,-3.906,-6.226,2.380
0.061,-0.121,0.992,-4.822,-6.042,0.122
0.051,-0.123,0.993,-5.005,-4.700,-0.427
0.057,-0.103,1.015,-1.404,-8.728,0.549
0.044,-0.086,1.054,3.479,-14.465,2.380
0.033,-0.098,1.050,5.920,-19.653,5.981
0.040,-0.097,1.037,3.845,-18.677,5.249
0.042,-0.095,1.045,0.061,-13.123,-1.038
0.028,-0.109,1.034,-1.709,-8.728,-3.540
0.022,-0.122,1.006,-3.296,-1.160,-3.784
0.029,-0.140,0.973,-3.723,-0.732,-2.930
0.030,-0.145,0.975,-4.150,-2.747,-2.258
0.016,-0.139,1.003,-4.639,-11.169,-1.404
0.005,-0.131,1.012,-4.578,-14.648,-0.854
-0.005,-0.114,1.009,-3.601,-16.724,0.854
-0.004,-0.095,1.005,-3.723,-16.357,1.343
0.002,-0.084,1.004,-2.625,-10.376,0.671
0.004,-0.092,0.993,-1.282,-6.287,-0.549
0.004,-0.098,0.990,0.061,-0.427,-1.709
0.019,-0.114,0.992,0.488,0.061,-0.977
0.021,-0.128,0.987,2.502,-2.930,0.671
0.026,-0.130,0.987,3.174,-5.066,1.099
0.026,-0.122,0.997,2.686,-9.460,0.488
0.012,-0.113,1.018,1.465,-11.169,-0.366
0.000,-0.103,1.012,-0.183,-11.658,-1.160
-0.009,-0.085,1.016,-2.075,-6.226,-0.732
-0.010,-0.089,1.012,-2.197,-2.502,0.427
-0.005,-0.098,1.001,-2.869,1.038,2.869
0.015,-0.111,0.986,-3.113,-0.122,3.784
0.022,-0.115,0.982,-2.319,-2.258,4.150
0.029,-0.115,0.983,-1.709,-2.075,3.479
0.022,-0.117,0.987,0.305,-2.014,2.380
-0.004,-0.120,0.989,1.770,-1.831,2.075
-0.012,-0.113,0.993,3.906,-2.380,2.563

-0.231,0.352,2.049,57.251,-34.546,30.273
-0.253,0.350,2.078,106.812,-29.968,43.030
-0.262,0.336,1.990,134.399,-27.466,51.025
-0.249,0.326,1.881,188.660,-7.935,61.646
-0.240,0.275,1.563,212.769,10.559,64.819
-0.223,0.252,1.392,253.296,51.819,69.763
-0.154,0.229,1.095,267.822,70.251,69.885
-0.114,0.221,0.972,288.269,106.201,64.270
0.020,0.203,0.816,297.791,120.056,59.509
0.077,0.195,0.738,316.223,120.117,46.265
0.079,0.113,0.561,324.097,113.525,39.001
0.072,0.060,0.491,327.087,122.681,20.447
0.079,-0.033,0.377,328.735,133.545,8.606
0.090,-0.075,0.324,333.252,138.733,-2.808
0.093,-0.115,0.262,346.313,138.245,-19.104
0.019,-0.219,0.024,358.032,136.719,-27.283
-0.092,-0.269,-0.174,385.193,140.259,-45.654
-0.401,-0.309,-0.708,396.912,155.334,-53.955
-0.566,-0.339,-1.056,420.959,194.458,-68.115
-0.871,-0.612,-1.951,419.983,209.351,-61.462
-0.808,-0.906,-2.371,307.678,203.430,18.738
-0.023,-1.130,-2.505,197.083,165.039,66.956
0.370,-0.901,-2.117,2.380,12.512,62.073
