aX,aY,aZ,gX,gY,gZ
0.042,-0.105,1.711,-69.824,-59.143,11.536
-0.114,0.106,0.907,-79.285,-88.501,7.202
-0.193,0.215,0.571,-43.884,-106.323,-18.860
-0.176,0.204,0.534,-0.732,-62.683,-19.226
-0.083,0.096,0.622,11.353,-31.128,-9.094
-0.029,0.039,0.732,29.236,18.738,13.367
0.006,-0.068,0.989,35.889,26.855,20.264
-0.013,-0.120,1.093,36.499,20.447,18.005
-0.018,-0.131,1.211,29.541,14.526,11.597
-0.023,-0.092,1.211,10.620,-5.371,2.380
-0.074,-0.010,1.082,2.930,-14.160,0.366
-0.097,0.018,0.995,-1.953,-18.372,-2.441
-0.132,0.048,0.893,0.977,-16.724,-4.028
-0.139,0.057,0.895,9.460,-8.911,-5.798
-0.140,0.046,0.957,12.085,-1.892,-5.493
-0.127,0.029,0.997,12.024,10.864,-4.150
-0.107,0.016,1.060,10.071,12.512,-3.479
-0.110,0.013,1.067,5.737,8.240,-5.005
-0.104,0.016,1.064,3.906,5.005,-6.897
-0.083,0.020,1.042,1.160,-0.854,-9.583
-0.071,0.014,1.024,0.122,-2.075,-9.827
-0.062,0.011,0.995,-1.343,-4.883,-7.629
-0.067,0.007,0.990,-1.038,-6.775,-6.165
-0.061,-0.003,1.003,0.366,-6.470,-5.188
-0.051,-0.004,1.020,-0.244,-6.287,-3.906
-0.045,-0.013,1.027,-1.709,-7.202,-2.197
-0.055,-0.012,1.017,-5.127,-8.606,1.404
-0.080,0.008,0.996,-6.165,-7.507,2.869
-0.087,0.011,0.997,-5.859,-3.845,4.883
-0.107,0.002,1.013,-5.493,-2.808,4.944
-0.106,0.008,1.011,-6.348,0.061,2.625
-0.100,0.012,1.006,-7.324,0.916,1.038
-0.085,0.011,0.999,-7.874,0.427,1.099
-0.079,0.015,0.991,-6.775,-2.258,1.282
-0.094,0.021,0.977,-5.310,-3.113,0.854
-0.109,0.029,0.974,-2.502,-0.671,-0.549
-0.127,0.032,0.993,-1.526,1.770,-1.465
-0.122,0.026,1.014,-1.770,5.249,-3.540
-0.101,0.015,1.022,-2.747,4.211,-4.089
-0.098,0.018,1.006,-3.845,1.404,-4.456
-0.095,0.022,0.990,-3.967,2.502,-4.517
-0.093,0.017,0.992,-3.723,7.935,-5.127
-0.079,0.010,1.005,-3.967,10.132,-5.798
-0.067,0.032,1.011,-4.761,9.460,-5.615
-0.072,0.037,1.001,-3.174,3.906,-4.395
-0.090,0.042,0.987,-1.709,2.075,-4.883
-0.087,0.043,0.991,0.488,1.648,-7.141
-0.056,0.043,1.000,1.160,0.610,-7.202
-0.046,0.037,0.999,1.770,-1.465,-6.287
-0.040,0.031,1.003,2.319,-4.822,-3.906
-0.041,0.028,1.006,2.441,-5.737,-2.869
-0.072,0.016,1.016,3.235,-7.263,-0.549
-0.094,0.022,1.019,3.235,-6.897,-0.122
-0.117,0.035,1.006,1.831,-0.671,-0.793
-0.117,0.023,0.997,0.061,8.850,-1.770
-0.096,0.001,1.004,-1.038,12.390,-2.014
-0.081,0.002,1.007,-1.343,11.902,-2.563
-0.067,0.016,1.005,-0.549,9.155,-2.869
-0.074,0.020,1.003,0.549,4.517,-1.648
-0.096,0.014,0.998,0.122,4.700,-1.282
-0.089,0.008,0.992,-1.465,10.010,-4.639
-0.036,0.017,0.990,-0.977,10.925,-7.019
-0.016,0.024,1.003,1.709,5.615,-8.118
-0.012,0.041,1.023,1.770,2.808,-6.897
-0.017,0.053,1.014,-0.244,0.549,-3.540
-0.047,0.058,0.992,-0.122,-0.122,-2.197
-0.067,0.052,1.001,1.221,-1.892,-0.610
-0.087,0.045,1.009,0.854,-3.174,0.183

0.175,-0.678,2.571,-48.035,30.212,13.916
0.169,-0.730,2.428,-139.221,-34.912,2.991
0.175,-0.640,2.262,-216.064,-73.730,-5.432
0.179,-0.406,1.831,-249.878,-87.708,-3.845
0.155,-0.323,1.577,-304.382,-100.769,8.972
0.117,-0.251,1.113,-320.923,-100.098,15.564
0.099,-0.211,0.956,-323.364,-113.220,17.395
0.101,-0.114,0.735,-316.162,-132.019,11.780
0.082,-0.072,0.540,-309.509,-170.105,3.479
0.068,-0.024,0.468,-315.674,-155.212,-0.549
0.155,0.125,0.387,-319.702,-130.066,-1.953
0.186,0.186,0.335,-320.923,-93.323,15.564
0.080,0.292,0.104,-314.819,-80.933,31.616
-0.030,0.349,-0.002,-296.509,-45.776,42.603
-0.164,0.383,-0.148,-287.537,-28.259,35.400
-0.177,0.399,-0.237,-274.780,-29.358,17.456
-0.258,0.458,-0.587,-269.043,-50.354,12.512
-0.362,0.484,-0.821,-263.123,-73.120,4.517
-0.562,0.578,-1.300,-257.446,-51.086,4.517
-0.627,0.680,-1.494,-198.364,26.489,10.132
