aX,aY,aZ,gX,gY,gZ
0.469,0.090,0.902,2.808,-0.671,-1.526
0.465,0.091,0.899,1.953,-0.427,-0.977
0.454,0.101,0.889,0.244,-0.610,-0.671
0.454,0.104,0.883,-0.061,-1.648,-1.221
0.456,0.101,0.891,1.648,-3.906,-1.892
0.456,0.096,0.901,2.380,-2.197,-1.465
0.461,0.090,0.908,1.465,-1.343,-1.099
0.460,0.092,0.907,-0.183,-0.305,-0.366
0.463,0.104,0.902,-0.427,-0.305,-0.610
0.463,0.111,0.900,-0.671,-0.366,-2.258
0.469,0.107,0.895,-0.671,-0.305,-2.991
0.474,0.106,0.893,0.183,-1.587,-3.723
0.477,0.102,0.892,0.916,-1.831,-3.723
0.479,0.097,0.896,2.930,-1.648,-3.418
0.484,0.082,0.910,3.113,-1.892,-3.174
0.487,0.073,0.914,0.183,-2.808,-1.648
0.479,0.072,0.909,-1.648,-3.357,-0.732
0.467,0.076,0.902,-2.502,-1.892,0.305
0.453,0.082,0.896,-1.709,-0.061,0.977
0.446,0.088,0.893,-1.892,1.831,1.587
0.442,0.091,0.885,-2.869,1.526,1.282
0.428,0.107,0.877,-3.235,1.221,0.732
0.423,0.113,0.876,-2.930,1.587,0.244
0.427,0.114,0.877,-2.197,1.831,-0.977
0.439,0.120,0.879,-1.770,1.648,-1.160
0.449,0.119,0.878,0.122,1.221,-2.380

0.635,1.009,1.391,16.418,21.484,5.432
0.684,1.173,1.497,36.316,-2.930,1.831
0.768,1.455,1.682,46.997,-15.564,-0.549
0.772,1.577,1.681,52.307,-16.418,2.441
0.696,1.642,1.453,49.438,-2.991,9.888
0.614,1.558,1.286,58.105,17.456,23.376
0.362,1.291,1.015,72.632,11.597,19.653
0.212,1.137,0.913,105.408,-43.030,-20.630
-0.122,0.740,0.718,117.554,-82.947,-49.500
-0.286,0.509,0.610,133.606,-129.456,-103.394
-0.483,-0.048,0.330,138.550,-116.394,-123.352
-0.471,-0.405,0.180,134.888,-41.931,-141.113
-0.304,-1.175,-0.041,122.253,-9.583,-137.817
-0.190,-1.547,-0.100,76.721,-6.531,-123.108
0.053,-2.115,-0.106,53.101,-36.804,-124.268
0.177,-2.282,0.009,48.462,-125.610,-151.123
0.531,-2.406,0.612,72.205,-163.330,-170.898
0.913,-2.033,1.189,100.464,-168.213,-187.622
1.025,-1.739,1.178,9.155,-13.855,-117.249
0.995,-1.445,0.650,-62.866,95.276,-50.049
0.852,-1.486,0.357,-119.141,182.800,23.132
0.477,-1.653,0.013,-142.212,223.511,127.808
0.335,-1.710,-0.066,-98.206,118.347,144.897
