aX,aY,aZ,gX,gY,gZ
0.675,0.200,0.223,42.114,-2.991,-108.337
0.722,0.223,0.232,45.288,-11.963,-107.178
0.774,0.188,0.313,44.922,-44.678,-107.422
0.812,0.158,0.372,42.419,-60.547,-105.957
0.842,0.145,0.438,47.913,-64.758,-92.712
0.854,0.172,0.540,56.458,-50.720,-84.229
0.846,0.163,0.554,70.068,-16.602,-72.693
0.847,0.161,0.566,71.045,-12.939,-64.636
0.850,0.171,0.650,70.068,-21.545,-60.120
0.846,0.175,0.704,70.313,-29.480,-55.542
0.837,0.176,0.795,75.684,-26.489,-48.950
0.825,0.180,0.825,79.407,-16.846,-45.654
0.786,0.183,0.874,81.238,-3.113,-36.194
0.779,0.162,0.897,77.820,-3.296,-31.616
0.791,0.141,0.918,70.007,-9.155,-27.222
0.806,0.130,0.960,70.007,-12.146,-25.391
0.792,0.095,1.051,75.378,-23.193,-17.517
0.766,0.089,1.102,76.843,-32.104,-16.113
0.780,0.098,1.165,72.144,-27.466,-9.705
0.801,0.092,1.151,63.965,3.723,5.005
0.756,0.054,1.110,63.965,12.817,12.390
0.698,0.056,1.120,69.214,7.935,19.043
0.655,0.048,1.159,69.031,1.892,17.578
0.670,0.045,1.177,61.340,-20.264,11.169
0.631,0.037,1.157,55.298,-31.921,12.878
0.587,0.012,1.179,48.279,-34.241,26.917
0.526,-0.026,1.293,49.133,-28.198,31.799
0.504,-0.030,1.332,46.692,-14.038,33.936
0.484,-0.062,1.284,39.429,-13.000,33.264
0.448,-0.079,1.240,24.048,-16.846,38.818
0.362,-0.105,1.244,21.790,-26.428,41.016
0.329,-0.095,1.270,21.606,-50.598,34.180
0.305,-0.118,1.307,17.700,-58.167,28.564
0.293,-0.132,1.320,3.296,-57.495,32.104
0.247,-0.148,1.325,-3.113,-47.913,37.781
0.214,-0.150,1.310,-6.042,-14.771,44.678
0.162,-0.140,1.238,-3.296,3.113,44.006
0.150,-0.127,1.182,-1.038,22.400,39.063
0.163,-0.101,1.065,-3.052,19.958,34.790
0.171,-0.090,1.016,-9.155,-4.944,23.865
0.171,-0.081,0.964,-10.437,-15.076,19.287
0.203,-0.090,0.961,-7.202,-16.846,12.329
0.224,-0.093,0.961,-6.165,-15.625,10.437
0.242,-0.065,0.928,-7.446,-10.315,10.620
0.244,-0.054,0.892,-4.150,2.991,10.925
0.246,-0.043,0.834,-0.183,6.897,9.949
0.249,-0.035,0.828,4.456,-1.038,5.737
0.262,-0.029,0.857,4.211,-9.705,2.319
0.276,-0.032,0.880,2.869,-20.630,-3.357
0.312,-0.042,0.931,2.319,-19.775,-3.418
0.328,-0.045,0.947,0.977,-8.972,0.916
0.329,-0.044,0.945,0.610,-1.648,3.235
0.317,-0.039,0.927,1.282,5.493,3.540
0.315,-0.034,0.925,1.343,2.319,1.709
0.325,-0.030,0.936,1.465,-7.568,-3.113
0.334,-0.032,0.946,2.625,-7.446,-4.456
0.341,-0.033,0.964,2.808,-4.883,-3.052
0.336,-0.032,0.965,2.197,0.305,-0.061
0.320,-0.035,0.952,2.075,1.831,0.366
0.317,-0.033,0.949,3.113,0.305,-1.404
0.331,-0.041,0.956,3.418,-2.563,-2.686
0.343,-0.047,0.965,2.930,-7.629,-2.686
0.348,-0.052,0.977,2.869,-6.714,-1.770
0.345,-0.051,0.975,4.028,0.671,0.793
0.328,-0.043,0.960,4.211,3.418,1.587
0.317,-0.041,0.956,2.258,0.977,1.343
0.297,-0.031,0.961,1.221,-2.136,0.610
0.297,-0.028,0.962,1.038,-4.395,-2.136
0.312,-0.032,0.963,1.526,-3.723,-3.113
0.323,-0.036,0.961,1.648,-0.977,-2.319
0.331,-0.043,0.951,1.404,0.488,-1.282
0.325,-0.045,0.946,3.357,3.540,-0.549
0.329,-0.045,0.951,4.517,3.357,-1.343
0.334,-0.044,0.954,2.686,0.488,-2.197
0.325,-0.038,0.945,2.014,0.610,-1.587
0.319,-0.037,0.942,2.319,1.282,-1.526
0.326,-0.044,0.953,1.892,-0.671,-2.563
0.330,-0.047,0.959,1.160,-3.967,-3.479
0.327,-0.052,0.974,2.075,-2.991,-3.113
0.329,-0.053,0.982,2.625,-1.160,-3.418
0.345,-0.065,0.982,1.343,-1.892,-3.601
0.352,-0.066,0.977,0.122,-1.770,-1.404

1.760,0.206,0.825,42.358,-20.447,-33.569
1.998,-0.089,0.952,67.566,-16.052,62.073
1.605,-0.498,1.471,82.581,-36.865,130.432
1.046,-0.565,1.767,71.899,-39.001,171.020
0.399,-0.582,1.853,6.531,-22.827,196.594
-0.262,-0.567,1.872,-17.944,-11.353,187.134
